Stage,Year,Player_ID,Transaction,Team,Position_Group,Money,Years/Original_Position,Original_Team/Destination_Position/Misc.
Pre-Staff Draft,2067,28742,retired,2,P,0,0,0
Pre-Staff Draft,2067,28764,retired,22,K,0,0,0
Pre-Staff Draft,2067,30004,retired,13,QB,0,0,0
Pre-Staff Draft,2067,30202,retired,23,WR,0,0,0
Pre-Staff Draft,2067,30249,retired,24,C,0,0,0
Pre-Staff Draft,2067,30383,retired,29,T,0,0,0
Pre-Staff Draft,2067,30540,retired,11,ILB,0,0,0
Pre-Staff Draft,2067,30998,retired,9,WR,0,0,0
Pre-Staff Draft,2067,31066,retired,22,C,0,0,0
Pre-Staff Draft,2067,31071,retired,4,C,0,0,0
Pre-Staff Draft,2067,31072,retired,12,C,0,0,0
Pre-Staff Draft,2067,31566,retired,24,S,0,0,0
Pre-Staff Draft,2067,31576,retired,29,S,0,0,0
Pre-Staff Draft,2067,31736,retired,13,FB,0,0,0
Pre-Staff Draft,2067,31739,retired,30,TE,0,0,0
Pre-Staff Draft,2067,31948,retired,26,G,0,0,0
Pre-Staff Draft,2067,31992,retired,2,T,0,0,0
Pre-Staff Draft,2067,32013,retired,23,T,0,0,0
Pre-Staff Draft,2067,32105,retired,3,DE,0,0,0
Pre-Staff Draft,2067,32114,retired,29,DE,0,0,0
Pre-Staff Draft,2067,32155,retired,13,DE,0,0,0
Pre-Staff Draft,2067,32316,retired,7,CB,0,0,0
Pre-Staff Draft,2067,32343,retired,20,CB,0,0,0
Pre-Staff Draft,2067,32594,retired,23,TE,0,0,0
Pre-Staff Draft,2067,32794,retired,26,G,0,0,0
Pre-Staff Draft,2067,32945,retired,15,DE,0,0,0
Pre-Staff Draft,2067,33018,retired,30,DT,0,0,0
Pre-Staff Draft,2067,33038,retired,20,DT,0,0,0
Pre-Staff Draft,2067,33126,retired,9,OLB,0,0,0
Pre-Staff Draft,2067,33198,retired,14,CB,0,0,0
Pre-Staff Draft,2067,33277,retired,19,S,0,0,0
