Stage,Year,Player_ID,Transaction,Team,Position_Group,Money,Years/Original_Position,Original_Team/Destination_Position/Misc.
Pre-Staff Draft,2066,27449,retired,4,QB,0,0,0
Pre-Staff Draft,2066,27922,retired,22,K,0,0,0
Pre-Staff Draft,2066,28331,retired,29,QB,0,0,0
Pre-Staff Draft,2066,29157,retired,27,QB,0,0,0
Pre-Staff Draft,2066,29175,retired,15,QB,0,0,0
Pre-Staff Draft,2066,29360,retired,11,WR,0,0,0
Pre-Staff Draft,2066,29367,retired,10,WR,0,0,0
Pre-Staff Draft,2066,29603,retired,7,K,0,0,0
Pre-Staff Draft,2066,29915,retired,31,S,0,0,0
Pre-Staff Draft,2066,30146,retired,2,TE,0,0,0
Pre-Staff Draft,2066,30184,retired,14,WR,0,0,0
Pre-Staff Draft,2066,30255,retired,18,C,0,0,0
Pre-Staff Draft,2066,30263,retired,15,C,0,0,0
Pre-Staff Draft,2066,30345,retired,16,T,0,0,0
Pre-Staff Draft,2066,30744,retired,26,S,0,0,0
Pre-Staff Draft,2066,30752,retired,18,S,0,0,0
Pre-Staff Draft,2066,30921,retired,14,TE,0,0,0
Pre-Staff Draft,2066,30936,retired,17,C,0,0,0
Pre-Staff Draft,2066,30962,retired,5,WR,0,0,0
Pre-Staff Draft,2066,31048,retired,4,C,0,0,0
Pre-Staff Draft,2066,31081,retired,17,G,0,0,0
Pre-Staff Draft,2066,31091,retired,20,G,0,0,0
Pre-Staff Draft,2066,31134,retired,3,G,0,0,0
Pre-Staff Draft,2066,31284,retired,13,DE,0,0,0
Pre-Staff Draft,2066,31307,retired,17,DT,0,0,0
Pre-Staff Draft,2066,31349,retired,26,DE,0,0,0
Pre-Staff Draft,2066,31461,retired,16,CB,0,0,0
Pre-Staff Draft,2066,31561,retired,26,S,0,0,0
Pre-Staff Draft,2066,31577,retired,13,CB,0,0,0
Pre-Staff Draft,2066,31661,retired,11,RB,0,0,0
Pre-Staff Draft,2066,31783,retired,31,TE,0,0,0
Pre-Staff Draft,2066,31785,retired,23,TE,0,0,0
Pre-Staff Draft,2066,31939,retired,28,G,0,0,0
Pre-Staff Draft,2066,32016,retired,14,T,0,0,0
Pre-Staff Draft,2066,32018,retired,6,T,0,0,0
Pre-Staff Draft,2066,32331,retired,31,CB,0,0,0
Pre-Staff Draft,2066,32396,retired,7,S,0,0,0
Pre-Staff Draft,2066,32400,retired,26,S,0,0,0
Pre-Staff Draft,2066,32421,retired,16,S,0,0,0
Pre-Staff Draft,2066,32519,retired,5,RB,0,0,0
Pre-Staff Draft,2066,32588,retired,26,FB,0,0,0
Pre-Staff Draft,2066,32702,retired,13,WR,0,0,0
Pre-Staff Draft,2066,32791,retired,5,G,0,0,0
Pre-Staff Draft,2066,32807,retired,15,G,0,0,0
Pre-Staff Draft,2066,32982,retired,13,DE,0,0,0
Pre-Staff Draft,2066,33029,retired,25,DE,0,0,0
Pre-Staff Draft,2066,33039,retired,2,DT,0,0,0
Pre-Staff Draft,2066,33144,retired,24,DT,0,0,0
Pre-Staff Draft,2066,33240,retired,13,S,0,0,0
Pre-Staff Draft,2066,33436,retired,5,FB,0,0,0
Pre-Staff Draft,2066,33464,retired,29,TE,0,0,0
Pre-Staff Draft,2066,33471,retired,10,TE,0,0,0
Pre-Staff Draft,2066,33990,retired,25,OLB,0,0,0
Pre-Staff Draft,2066,34120,retired,8,S,0,0,0
Pre-Staff Draft,2066,34220,retired,20,RB,0,0,0
Pre-Staff Draft,2066,34270,retired,29,RB,0,0,0
Pre-Staff Draft,2066,34881,retired,3,CB,0,0,0
Staff Draft,2066,38105,changed primary position,1,ILB,0,MLB,WILB
Staff Draft,2066,34001,changed primary position,3,ILB,0,SILB,MLB
Staff Draft,2066,32157,changed primary position,4,DT,0,NT,RDT
Staff Draft,2066,34744,changed primary position,4,DT,0,NT,RDT
Staff Draft,2066,38879,changed primary position,13,DT,0,NT,RDT
Staff Draft,2066,40614,changed primary position,13,ILB,0,SILB,MLB
Staff Draft,2066,32195,changed primary position,15,OLB,0,WILB,WLB
Staff Draft,2066,39780,changed primary position,18,ILB,0,MLB,SILB
Staff Draft,2066,40632,changed primary position,19,OLB,0,WILB,SLB
Staff Draft,2066,38939,changed primary position,20,ILB,0,SILB,MLB
Staff Draft,2066,36411,changed primary position,26,ILB,0,MLB,WILB
Staff Draft,2066,40649,changed primary position,27,ILB,0,SILB,MLB
Staff Draft,2066,38928,changed primary position,29,ILB,0,MLB,SILB
Staff Draft,2066,38940,changed primary position,29,ILB,0,MLB,WILB
