Stage,Year,Player_ID,Transaction,Team,Position_Group,Money,Years/Original_Position,Original_Team/Destination_Position/Misc.
Pre-Staff Draft,2068,28285,retired,31,QB,0,0,0
Pre-Staff Draft,2068,29127,retired,2,QB,0,0,0
Pre-Staff Draft,2068,29580,retired,30,P,0,0,0
Pre-Staff Draft,2068,29969,retired,21,QB,0,0,0
Pre-Staff Draft,2068,31070,retired,17,C,0,0,0
Pre-Staff Draft,2068,31131,retired,21,G,0,0,0
Pre-Staff Draft,2068,31635,retired,1,QB,0,0,0
Pre-Staff Draft,2068,31895,retired,19,C,0,0,0
Pre-Staff Draft,2068,32165,retired,0,DT,0,0,0
Pre-Staff Draft,2068,32191,retired,15,DT,0,0,0
Pre-Staff Draft,2068,32192,retired,11,ILB,0,0,0
Pre-Staff Draft,2068,32202,retired,3,ILB,0,0,0
Pre-Staff Draft,2068,32230,retired,30,ILB,0,0,0
Pre-Staff Draft,2068,32345,retired,23,CB,0,0,0
Pre-Staff Draft,2068,32406,retired,28,S,0,0,0
Pre-Staff Draft,2068,32664,retired,1,WR,0,0,0
Pre-Staff Draft,2068,32716,retired,1,WR,0,0,0
Pre-Staff Draft,2068,32764,retired,2,G,0,0,0
Pre-Staff Draft,2068,32815,retired,10,G,0,0,0
Pre-Staff Draft,2068,33058,retired,2,ILB,0,0,0
Pre-Staff Draft,2068,33069,retired,10,ILB,0,0,0
Pre-Staff Draft,2068,33147,retired,6,DE,0,0,0
Pre-Staff Draft,2068,33284,retired,6,S,0,0,0
Pre-Staff Draft,2068,33412,retired,18,FB,0,0,0
Pre-Staff Draft,2068,33621,retired,16,G,0,0,0
Pre-Staff Draft,2068,33640,retired,18,G,0,0,0
Pre-Staff Draft,2068,33646,retired,6,G,0,0,0
Pre-Staff Draft,2068,33793,retired,26,DE,0,0,0
Pre-Staff Draft,2068,33796,retired,24,DE,0,0,0
Pre-Staff Draft,2068,33830,retired,11,DE,0,0,0
Pre-Staff Draft,2068,33928,retired,0,ILB,0,0,0
Pre-Staff Draft,2068,34212,retired,30,RB,0,0,0
Pre-Staff Draft,2068,34296,retired,25,FB,0,0,0
Pre-Staff Draft,2068,34398,retired,11,WR,0,0,0
Pre-Staff Draft,2068,34466,retired,20,C,0,0,0
Pre-Staff Draft,2068,34706,retired,30,DE,0,0,0
Pre-Staff Draft,2068,34809,retired,8,OLB,0,0,0
Pre-Staff Draft,2068,34849,retired,30,OLB,0,0,0
Pre-Staff Draft,2068,34931,retired,20,CB,0,0,0
Pre-Staff Draft,2068,34996,retired,18,S,0,0,0
Pre-Staff Draft,2068,35321,retired,20,G,0,0,0
Pre-Staff Draft,2068,35499,retired,19,DE,0,0,0
Pre-Staff Draft,2068,35561,retired,22,DE,0,0,0
Pre-Staff Draft,2068,35774,retired,15,S,0,0,0
Pre-Staff Draft,2068,36339,retired,16,DE,0,0,0
Pre-Staff Draft,2068,36815,retired,2,TE,0,0,0
Pre-Staff Draft,2068,37343,retired,4,CB,0,0,0
Staff Draft,2068,34749,changed primary position,1,DE,0,LDT,RDE
Staff Draft,2068,39743,changed primary position,4,DT,0,NT,RDT
Staff Draft,2068,40650,changed primary position,6,ILB,0,WILB,MLB
Staff Draft,2068,35611,changed primary position,8,ILB,0,MLB,WILB
Staff Draft,2068,36434,changed primary position,8,ILB,0,MLB,SILB
Staff Draft,2068,38094,changed primary position,8,ILB,0,MLB,SILB
Staff Draft,2068,42343,changed primary position,9,ILB,0,WILB,MLB
Staff Draft,2068,42314,changed primary position,12,OLB,0,SILB,WLB
Staff Draft,2068,33048,changed primary position,14,ILB,0,WILB,MLB
Staff Draft,2068,41487,changed primary position,15,ILB,0,MLB,WILB
Staff Draft,2068,33944,changed primary position,18,ILB,0,MLB,SILB
Staff Draft,2068,34653,changed primary position,18,DE,0,LDT,LDE
Staff Draft,2068,42324,changed primary position,24,OLB,0,SILB,WLB
Staff Draft,2068,34790,changed primary position,25,OLB,0,SILB,SLB
Staff Draft,2068,36402,changed primary position,25,ILB,0,WILB,MLB
Staff Draft,2068,37234,changed primary position,25,OLB,0,SILB,SLB
Staff Draft,2068,40595,changed primary position,25,DT,0,NT,LDT
